Name,Quantity,Cost,Link
Akko Creamy Cyan,108,$44.99,https://stackskb.com/store/akko-creamy-cyan-switch-pack-of-45-pre-order/
Durock Smokey Screw-In Stabilizers V2 (7+1 w/ 6.25u spacebar),1,$18.58,https://stackskb.com/store/durock-smokey-screw-in-stabilizers-v2/
Womier Azure Eclipse Side Backlit Cherry PBT Keycap,1,$27.00,https://curiositycaps.in/products/flow-backlit-side-printed-cherry-pbt-keycap-set
Diode 1N4148 Through - Hole,100,$2.15,https://www.amazon.in/dp/B084ZP5BJ3?ref_=cm_sw_r_cp_ud_dp_YPW3WFYTE31QA18570D1&_encoding=UTF8&psc=1
PCB - (Black Color),5,$109.01,https://jlcpcb.com/
Raspberry Pi Pico,1,$7.40,https://amzn.in/d/4E8fnHk
Heatset and Screws,1,$5.00,https://onlyscrews.in/
"Case- top,mid,bot",1,$5.00,Printing Legion 
